R_32_1: E_1 - A/B/C/D/F_3
R_32_2: I_1 - C/D/F/G/H_3
R_32_3: A_2 - B_2 
R_32_4: F_1 - C_2
R_32_5: K_2 - L_2
R_32_6: H_1 - J_2
R_32_7: D_1 - B/E/F/I/J_3
R_32_8: G_1 - A/E/H/I/J_3
R_32_9: C_1 - F_2
R_32_10: E_2 - I_2
R_32_11: A_1 - C/E/F/H/I_3
R_32_12: L_1 - E/H/I/J/K_3
R_32_13: J_1 - H_2
R_32_14: D_2 - G_2
R_32_15: B_1 - E/F/G/I/J_3
R_32_16: K_1 - D/E/I/J/L_3
R_16_1: W_R_32_1 - W_R_32_2
R_16_2: W_R_32_3 - W_R_32_4
R_16_3: W_R_32_5 - W_R_32_6
R_16_4: W_R_32_7 - W_R_32_8
R_16_5: W_R_32_9 - W_R_32_10
R_16_6: W_R_32_11 - W_R_32_12
R_16_7: W_R_32_13 - W_R_32_14
R_16_8: W_R_32_15 - W_R_32_16
QF_1: W_R_16_1 - W_R_16_2
QF_2: W_R_16_3 - W_R_16_4
QF_3: W_R_16_5 - W_R_16_6
QF_4: W_R_16_7 - W_R_16_8
SF_1: W_QF_1 - W_QF_2
SF_2: W_QF_3 - W_QF_4
3RD: L_SF_1 - L_SF_2
F: W_SF_1 - W_SF_2
